2026-07-13 02:21:01 Engine: started at phase 'mine'
2026-07-17 10:16:24 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:16:26 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:16:28 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:16:29 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:16:31 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:16:33 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:16:34 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:16:36 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:16:38 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:16:40 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:16:40 MinePhase: Lost track of vein or depleted. Finding new vein.
2026-07-17 10:16:41 MinePhase: Found new vein at [1405, 713]
2026-07-17 10:16:41 MinePhase: Initial click to walk to vein at [1405, 713] (vein at [1405, 713])
2026-07-17 10:16:44 MinePhase: Clicked stable vein at [1265, 713] (vein at [1265, 713])
2026-07-17 10:16:46 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:16:47 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:16:49 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:16:51 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:16:53 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:16:54 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:16:56 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:16:58 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:16:59 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:17:00 MinePhase: Inventory full, transitioning to clearRed
2026-07-17 10:17:00 ClearRedPhase: No red rockfalls found. Moving to hopper.
2026-07-17 10:17:00 ClearYellowPhase: Clicked hopper at [1070, 240]
2026-07-17 10:17:08 ClearYellowPhase: Ore deposited. Moving to sack.
2026-07-17 10:17:10 WithdrawSackPhase: Clicked sack at [1825, 724]
